,ID,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
141,0x81a5,26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,23,9.314884732538992
142,0xae56,24.0,4.6,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,30,17.137482577819046
143,0x8d18,23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,3.1450674354101187
144,0x9cba,36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,1.5725337265584898
145,0x9b79,39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,6.218002348642889
146,0x596a,20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,12.463883023934917
147,0x78aa,20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,20.20658151050987
148,0xd7ec,29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,9.081116432145537
149,0x55b1,36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,17.138077427608316
150,0x87e4,36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,13.631343698200281
151,0x82c3,22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,12.074063090227655
152,0x5397,38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,10.723264171972627
153,0x876b,39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,7.600994631313737
154,0x3a5a,24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,7.562982485254907
155,0x51e4,30.0,4.1,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,43,11.007734763545226
156,0x5631,35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,13.82931444525574
157,0x1dac,33.0,4.5,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,13.96911696778712
158,0xde01,39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,10.92326745804785
159,0x8771,31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44,12.117036432040061
160,0x3645,37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,1.552570412959481
161,0x1ff1,37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,4.663566688756208
162,0x4a3c,33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,1.5294972184813194
163,0x6e0d,24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Urban,19,9.435201537103644
164,0x6cc6,33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,11.916757258852886
165,0xc141,39.0,4.7,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,10.486117701358587
166,0x690f,37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,13.583078662372667
167,0xb4ba,25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,7.68319140518767
168,0x63a9,28.0,4.8,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,11,9.193093962383628
169,0x88dd,38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,6.21788364750751
170,0x1b58,,,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,43,10.427235657707744
171,0x87a8,31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,25,9.326872528792316
172,0x3f8d,25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,9.179538450507236
173,0x290c,35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,10.880651848338768
174,0x7ece,39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,10.565262855059668
175,0x1365,38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,12.100062420926562
176,0x33a4,35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,4.657159717712414
177,0x8f3c,29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,2.9812178559391738
178,0x2fe1,27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,4.561265632453321
179,0x4b5b,38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,54,13.98991687733361
180,0x7405,36.0,4.9,Windy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,21,10.642288953545155
181,0x6245,26.0,4.0,Cloudy,High,1,Buffet,motorcycle,,No,Metropolitian,34,6.147404652585687
182,0xd02b,26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,13.428477357526525
183,0x1f0e,36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,9.327285157636926
184,0x7085,21.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,1.4897929741981528
185,0x57fa,35.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,27,12.41839474187955
186,0x57fc,20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,6.217860689094804
187,0x7a1f,23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,13.787803344558727
188,0xceac,37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,9.080187058447878
189,0xa0a5,26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,9.315441635177335
190,0x892d,29.0,5.0,Sandstorms,Low,1,Snack,scooter,,No,Urban,11,12.161417162194622
191,0x6118,26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,16.63687503884221
192,0x46fd,29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,9.19295116676508
193,0x5134,29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,3.018226485755646
194,0xd418,21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,4.395420246455785
195,0x256c,22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,3.109059105172104
196,0x6055,31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,11.916582838065272
197,0x7bfb,20.0,4.5,Fog,Low,1,Snack,motorcycle,0.0,No,,11,3.1162485105714386
198,0x7220,30.0,3.9,Stormy,Jam,2,Drinks,electric_scooter,,No,Metropolitian,32,12.116950608663233
199,0x1568,36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,10.86826311779086
200,0x41ea,24.0,4.7,Fog,Medium,1,Buffet,scooter,,No,Metropolitian,13,6.21815308601551
201,0x1c60,32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,1.5544249731931532
202,0x7944,25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,9.31301715871654
203,0x77ee,27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,6.147106622655738
204,0x2192,32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,10.867300461849286
205,0x48c7,23.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,19,6.209259881992308
206,0x78bf,39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,20.180859168354566
207,0x7a5a,20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,9.435201537103644
208,0x4321,20.0,4.8,Windy,Medium,2,Drinks,electric_scooter,0.0,No,,15,11.919755989130772
209,0xe00d,29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,4.494291161621797
210,0x1e86,26.0,4.9,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20.851726357428884
211,0xcff0,25.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,14,1.5605734766727828
212,0x1e2d,34.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,30,6.210589610263767
213,0xd072,31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28,6.1752835752571436
214,0x9a57,24.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,20.442929762531403
215,0x427b,30.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,30,13.830084721902905
216,0x52e2,36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,19.373745834957603
217,0x9395,36.0,4.4,Fog,Low,0,Snack,motorcycle,,No,Metropolitian,37,20.857115324024612
218,0xb5d2,26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,20.851557402555603
219,0x6c4d,30.0,4.6,Sunny,Low,2,Buffet,scooter,1.0,No,,29,16.65996319003844
220,0xd1c8,20.0,4.8,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,25,4.717601091654031
221,0x98ca,33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,7.762600239846887
222,0x1b5b,,,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,24,11.007734763545226
223,0x644b,34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,13.766855008643477
224,0x7a2d,36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,12.293677673344574
225,0xe13f,33.0,4.6,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,2.984637270033896
226,0xc278,22.0,4.8,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,16.788275862495357
227,0x5912,38.0,4.7,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,19,1.532022771405787
228,0xab33,27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,12.421407858556853
229,0xdd96,32.0,4.8,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,10.444776154976848
230,0x7646,26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,12.420750050082729
231,0x5ef5,29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,19.659373527445805
232,0x7ef7,31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,29,12.464189804361935
233,0x1136,28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,6.146243658343158
234,0xd032,21.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,11,8.92908688862677
235,0x199d,21.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,,No,Metropolitian,19,7.790362124590408
